lang	event	word	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	sum	sumdays
fr	2020-08-04	tunisie	282	241	313	75	84	149	162	160	241	188	193	132	119	174	229	2742	944
fr	2020-08-04	bien	110	87	88	107	71	87	119	114	93	142	96	88	94	123	110	1529	564
fr	2020-08-04	liban	0	19	6	2	5	4	0	375	298	213	111	61	39	44	30	1207	997
fr	2020-08-04	trop	84	70	86	69	66	90	81	66	66	91	87	84	106	69	91	1206	391
fr	2020-08-04	beyrouth	0	5	1	0	0	2	0	372	308	124	77	72	46	24	30	1061	881
fr	2020-08-04	ans	115	60	61	45	59	71	69	84	28	67	61	77	55	102	71	1025	309
fr	2020-08-04	merci	81	55	54	55	49	74	68	76	69	79	58	44	48	73	56	939	350
fr	2020-08-04	vie	100	50	41	41	41	52	57	65	47	77	87	64	73	62	54	911	333
fr	2020-08-04	monde	42	51	74	58	49	68	50	56	51	63	65	59	56	71	81	894	285
fr	2020-08-04	gens	63	43	39	46	36	67	65	74	55	62	29	43	75	41	64	802	285
fr	2020-08-04	france	55	71	55	39	35	49	38	40	50	100	64	46	35	54	70	801	292
fr	2020-08-04	encore	69	38	50	35	42	41	39	76	46	49	53	50	36	57	49	730	263
fr	2020-08-04	pays	43	27	53	38	25	33	46	68	76	76	53	36	47	53	51	725	319
fr	2020-08-04	covid	59	63	37	36	40	60	41	51	43	40	60	31	27	38	90	716	235
fr	2020-08-04	personne	54	42	47	41	38	58	48	64	52	26	42	34	32	67	55	700	232
fr	2020-08-04	jour	52	103	55	38	55	32	42	63	30	33	35	40	29	33	52	692	203
fr	2020-08-04	juste	47	37	57	46	31	40	50	42	33	64	34	28	58	60	46	673	223
fr	2020-08-04	temps	39	58	38	35	34	30	28	47	26	31	37	46	44	36	52	581	169
fr	2020-08-04	rt	45	52	30	44	37	36	38	29	46	35	38	25	32	32	58	577	186
fr	2020-08-04	mdr	29	32	27	32	12	36	29	31	21	27	41	41	67	38	56	519	149
fr	2020-08-04	femme	58	38	20	25	18	25	36	29	21	30	43	28	34	33	50	488	159
fr	2020-08-04	tunis	41	52	29	10	18	27	24	27	40	64	38	20	16	20	49	475	193
fr	2020-08-04	explosion	1	0	0	0	0	0	0	250	109	38	22	14	9	15	12	470	419
fr	2020-08-04	photo	24	26	40	23	16	29	25	28	36	34	30	34	70	27	24	466	153
fr	2020-08-04	dieu	41	27	46	18	38	22	34	67	41	27	16	17	33	14	20	461	185
fr	2020-08-04	personnes	46	21	22	19	10	22	33	65	47	28	41	11	34	28	33	460	214
fr	2020-08-04	août	12	14	11	12	33	52	43	30	43	34	36	35	27	34	34	450	186
fr	2020-08-04	cas	33	39	39	19	28	34	16	19	25	24	45	20	39	24	36	440	129
